Year,Policy_ID,Customer_Age,Gender,Region,Vehicle_Type,Vehicle_Age,Vehicle_Value_KES,Vehicle_Engine_Capacity,Use_Purpose,Annual_Premium_KES,Claims_Frequency,Total_Claim_Amount_KES,No_Claim_Bonus_%,Accident_Cause,Policy_Term_Months,Previous_Claims_Count,Driver_Experience_Years,Third_Party_Only
2023,P202300001,58,Male,Nakuru,PSV,19,3229084,2000,Business,203851,1,866500,0,Theft,6,0,38,Yes
2023,P202300002,43,Male,Thika,Private,3,1739911,2000,Taxi,64471,0,0,20,None,6,2,22,No
2023,P202300003,40,Male,Kakamega,Private,0,2781931,1500,Business,146378,0,0,50,None,12,0,22,Yes
2023,P202300004,46,Male,Nakuru,Private,9,1154811,2500,Personal,59810,0,0,30,None,12,0,26,No
2023,P202300005,63,Female,Nakuru,Commercial,19,3452991,1000,Business,143266,0,0,30,None,6,0,41,No
2023,P202300006,28,Male,Thika,Private,6,2946609,2500,Business,187760,1,684500,0,Weather,6,0,9,Yes
2023,P202300007,39,Male,Kisumu,PSV,14,3775995,2500,Personal,183201,0,0,20,None,6,0,21,Yes
2023,P202300008,55,Male,Meru,Private,17,2273415,2500,Personal,68799,0,0,20,None,12,0,36,Yes
2023,P202300009,23,Female,Eldoret,PSV,17,3299435,1500,Personal,130950,0,0,20,None,6,1,2,No
2023,P202300010,59,Male,Thika,Private,15,1572876,1500,Personal,64345,0,0,30,None,6,0,41,Yes
2023,P202300011,64,Male,Meru,Motorcycle,8,88044,3000,Personal,5219,0,0,10,None,6,2,44,No
2023,P202300012,36,Male,Meru,Private,7,2611138,2000,Personal,161845,1,564800,0,Collision,12,0,18,Yes
2023,P202300013,27,Female,Kakamega,Private,11,851279,3000,Personal,38950,1,453700,0,Theft,12,0,5,Yes
2023,P202300014,66,Female,Kakamega,Private,13,1706914,1000,Personal,100340,1,266000,0,Weather,12,0,47,No
2023,P202300015,61,Male,Nairobi,Private,12,2850770,1000,Personal,132543,0,0,50,None,6,0,39,No
2023,P202300016,42,Female,Nakuru,Commercial,6,1773548,2000,Personal,87504,0,0,10,None,12,1,22,No
2023,P202300017,41,Male,Nairobi,Private,1,1919945,3000,Business,112305,0,0,20,None,12,0,20,No
2023,P202300018,47,Male,Nairobi,Private,11,700235,2500,Business,38500,1,340200,0,Speeding,6,1,29,Yes
2023,P202300019,20,Male,Nakuru,Private,19,627948,1000,Taxi,32442,0,0,10,None,6,0,1,No
2023,P202300020,28,Female,Meru,Motorcycle,4,63545,2500,Taxi,3755,0,0,10,None,12,0,10,Yes
2023,P202300021,68,Male,Meru,Motorcycle,16,89353,2500,Personal,3074,0,0,10,None,12,0,48,Yes
2023,P202300022,68,Female,Kisumu,Commercial,4,1613168,1500,Business,111424,0,0,30,None,6,0,46,Yes
2023,P202300023,51,Female,Eldoret,Private,0,2914976,2000,Taxi,152690,1,785900,0,Weather,12,0,30,No
