"crash_id","crash_datetime","crash_date","latitude","longitude","n_crash_reports","contains_fatality_words","contains_pedestrian_words","contains_matatu_words","contains_motorcycle_words"
1,2018-06-06 20:39:54,2018-06-06,-1.2631315,36.7642835,1,0,0,0,0
2,2018-06-30 13:36:54,2018-06-30,-1.295135,36.821932,1,0,0,0,0
3,2018-05-26 07:42:54,2018-05-26,-1.3718555,36.9204565,1,1,0,0,0
4,2018-05-26 07:52:24,2018-05-26,-1.209945,36.83323,1,0,0,0,0
5,2018-05-26 15:42:24,2018-05-26,-1.215468,36.850638,1,0,0,0,0
6,2018-05-26 18:21:24,2018-05-26,-1.2451285,36.8673795,1,0,0,0,0
7,2018-05-26 20:15:54,2018-05-26,-1.389695,36.938026,1,0,0,0,0
8,2018-05-27 14:03:54,2018-05-27,-1.234781,36.8728705,1,0,0,0,0
9,2018-05-27 14:04:54,2018-05-27,-1.258537,36.91659,1,1,0,0,1
10,2018-05-27 14:49:24,2018-05-27,-1.067963,37.051213,1,0,0,1,0
11,2018-05-27 17:00:54,2018-05-27,-1.260797,36.712915,1,0,0,0,1
12,2018-05-28 06:20:24,2018-05-28,-1.216927,36.8941755,1,0,0,0,0
13,2018-05-28 06:55:54,2018-05-28,-1.220387,36.89118,1,0,0,0,0
14,2018-05-28 19:42:24,2018-05-28,-1.396656,36.941388,1,0,0,1,0
15,2018-05-29 16:33:54,2018-05-29,-1.3195655,36.8385065,1,0,0,0,0
16,2018-05-29 16:44:24,2018-05-29,-1.304899,36.82478,1,0,0,0,0
17,2018-05-29 17:18:24,2018-05-29,-1.249479,36.846988,1,0,0,0,0
18,2018-05-29 18:32:24,2018-05-29,-1.506574,37.095385,1,0,0,0,0
19,2018-05-30 06:35:54,2018-05-30,-1.25021,36.820718,1,0,0,1,0
20,2018-05-30 10:22:24,2018-05-30,-1.225951,36.839095,1,0,0,0,0
21,2018-05-30 17:29:24,2018-05-30,-1.274802,36.812039,1,0,0,0,0
22,2018-05-30 19:07:24,2018-05-30,-1.262799,36.879031,1,0,0,0,0
23,2018-05-31 08:51:54,2018-05-31,-1.2642666,36.74699,1,0,0,0,0
24,2018-05-31 13:30:24,2018-05-31,-1.052522,37.094317,1,1,0,0,1
25,2018-05-31 17:32:54,2018-05-31,-1.292827,36.7745175,1,0,0,0,0
26,2018-05-31 17:42:54,2018-05-31,-1.298367,36.802168,1,0,0,0,0
27,2018-05-31 20:02:54,2018-05-31,-1.300398,36.773832,1,0,0,0,0
28,2018-05-31 20:20:24,2018-05-31,-1.124653,37.003037,1,0,0,0,0
29,2018-05-31 22:46:54,2018-05-31,-1.261998,36.84,1,0,0,0,0
30,2018-05-31 22:57:24,2018-05-31,-1.256093,36.855982,1,0,0,0,0
31,2018-06-01 06:50:24,2018-06-01,-1.3632275,36.7648435,1,0,0,0,0
32,2018-06-01 09:33:24,2018-06-01,-0.983177,36.632307,1,0,0,0,0
33,2018-06-01 11:47:24,2018-06-01,-1.296993,36.875598,1,0,0,0,0
34,2018-06-01 11:59:24,2018-06-01,-0.940662,36.620393,1,0,0,0,0
35,2018-06-01 12:01:24,2018-06-01,-0.804494,36.531555,1,0,0,0,0
36,2018-06-01 16:13:54,2018-06-01,-1.2881165,36.818796,1,0,1,0,0
37,2018-06-01 18:39:54,2018-06-01,-1.296362,36.883496,1,0,0,0,0
38,2018-06-02 07:46:24,2018-06-02,-1.2666115,36.8344265,1,0,0,1,0
39,2018-06-02 12:37:54,2018-06-02,-1.275757,36.8228905,1,0,0,0,0
40,2018-06-02 16:45:24,2018-06-02,0.491426,35.27037,1,0,0,0,0
41,2018-06-02 19:14:24,2018-06-02,-1.207233,36.911888,1,0,0,0,0
42,2018-06-02 19:51:54,2018-06-02,-1.213711,36.899673,1,0,0,0,0
43,2018-06-02 21:04:24,2018-06-02,-1.220088,36.892,1,0,0,0,0
44,2018-06-03 00:25:54,2018-06-03,-1.289163,36.811719,1,0,0,0,0
45,2018-06-03 06:29:54,2018-06-03,-1.3442335,36.666157,1,0,0,1,0
46,2018-06-03 14:13:24,2018-06-03,-1.288932,36.839907,1,0,0,0,0
47,2018-06-03 18:14:24,2018-06-03,-1.2693285,36.805776,1,0,0,0,0
48,2018-06-03 20:14:24,2018-06-03,-1.364719,36.911405,1,0,0,0,0
49,2018-06-03 22:15:54,2018-06-03,-1.097772,36.627076,1,0,0,0,0
50,2018-06-04 01:54:54,2018-06-04,-1.355691,36.657324,1,0,0,0,0
51,2018-06-04 01:55:24,2018-06-04,-1.217267,36.8929095,1,0,0,0,0
52,2018-06-04 05:45:24,2018-06-04,-1.396243,36.745543,1,0,0,0,0
53,2018-06-04 06:54:24,2018-06-04,-1.29374,36.795907,1,0,0,0,1
54,2018-06-04 11:32:54,2018-06-04,-1.2612255,36.8739765,1,0,0,1,0
55,2018-06-04 12:23:24,2018-06-04,-1.148514,36.961087,1,0,0,0,0
56,2018-06-04 14:29:54,2018-06-04,-1.278919,36.784299,1,0,0,0,0
57,2018-06-04 15:23:54,2018-06-04,-1.12422,37.003608,1,0,0,0,0
58,2018-06-04 17:45:54,2018-06-04,-1.266667,36.834423,1,0,0,0,0
59,2018-06-05 07:36:54,2018-06-05,-1.324801,36.8481885,1,0,0,0,0
60,2018-06-05 11:50:54,2018-06-05,-1.153175,36.961002,1,0,0,0,0
61,2018-06-05 15:26:24,2018-06-05,-1.3249405,36.848489,1,0,0,0,0
62,2018-06-05 17:06:24,2018-06-05,-1.280817,36.816967,1,0,0,0,0
63,2018-06-05 18:59:54,2018-06-05,-1.297165,36.875237,1,0,0,0,0
64,2018-06-05 19:13:54,2018-06-05,-1.210473,36.7894545,1,0,0,0,0
65,2018-06-05 20:23:24,2018-06-05,-1.245244,36.7695612,1,0,0,0,0
66,2018-06-05 21:26:54,2018-06-05,-1.287058,36.836512,1,0,0,0,0
67,2018-06-05 23:10:54,2018-06-05,-1.181702,36.9373895,1,1,0,0,0
68,2018-06-06 03:33:24,2018-06-06,-1.2631,36.979394,1,0,0,0,0
69,2018-06-06 07:08:24,2018-06-06,-1.2198175,36.8911125,1,0,0,0,0
70,2018-06-06 09:17:24,2018-06-06,-1.264737,36.802079,1,0,0,1,0
71,2018-06-06 21:13:54,2018-06-06,-1.406897,36.947256,1,0,0,0,0
72,2018-06-06 21:58:54,2018-06-06,-1.411171,36.951006,1,0,0,0,0
73,2018-06-07 05:43:24,2018-06-07,-1.285105,36.883902,1,0,0,0,0
74,2018-06-07 05:55:54,2018-06-07,-1.203801,36.916523,1,0,0,0,0
75,2018-06-07 06:31:54,2018-06-07,-1.260699,36.716544,1,0,0,0,0
